40 1600
31 19 6
30 23 8
14 21 7
29 25 7
29 32 10
13 32 6
28 33 8
28 20 2
39 23 13
37 34 3
39 19 15
17 13 3
30 8 7
33 8 6
26 16 5
21 25 12
36 39 13
4 22 16
0 8 1
39 0 12
3 36 12
23 18 7
6 0 4
23 4 2
10 4 4
14 19 10
35 36 13
12 23 11
32 2 1
3 33 15
11 39 10
33 22 2
7 24 7
32 13 15
20 16 6
15 22 8
34 30 16
3 21 16
12 2 7
7 2 7
14 18 9
19 0 2
29 10 9
11 37 1
26 27 10
7 14 1
32 6 5
32 26 4
37 15 8
26 36 10
29 11 7
6 7 12
38 8 16
7 6 2
36 2 6
2 22 11
38 32 13
35 9 6
17 22 8
31 19 2
3 19 9
8 3 16
0 20 1
39 17 8
8 33 4
11 2 13
5 3 1
9 38 6
36 33 14
28 20 12
27 3 9
31 28 7
38 3 3
35 33 10
18 14 1
23 19 4
36 23 7
14 15 7
1 35 12
16 36 16
1 35 6
20 23 14
1 20 8
31 16 9
35 20 16
33 28 4
32 14 8
36 26 1
31 16 10
11 36 11
32 36 2
0 29 16
9 37 8
35 3 14
39 13 1
15 38 10
4 30 7
4 1 12
12 36 16
35 5 2
30 26 8
11 6 6
25 21 6
19 17 5
4 28 16
0 28 14
14 13 11
33 25 11
17 8 9
38 29 15
31 17 8
10 3 3
5 13 13
17 20 1
19 31 11
0 10 11
14 22 4
33 34 8
9 12 9
5 18 14
37 32 15
25 19 14
5 17 16
9 35 13
10 33 12
1 27 16
31 32 14
18 17 6
7 13 16
35 18 12
6 8 5
30 12 13
27 16 4
21 37 2
20 16 14
27 36 8
17 18 5
32 5 1
32 19 15
13 3 2
37 10 7
38 0 5
32 36 13
2 16 7
6 22 12
12 20 1
15 0 16
14 5 8
20 29 14
0 36 8
7 8 12
21 35 15
10 20 1
27 32 15
28 9 9
0 14 9
9 16 6
27 8 5
27 4 10
20 25 1
23 27 5
26 5 4
0 32 7
39 18 16
3 7 2
34 36 1
0 13 2
37 21 3
3 17 1
9 39 13
22 31 14
38 32 3
13 3 8
24 28 11
37 13 2
36 20 8
7 9 6
12 20 10
27 12 12
4 32 1
14 9 15
34 5 9
25 15 16
28 2 2
37 1 6
39 9 2
21 4 3
39 25 6
32 35 13
19 29 2
21 23 9
14 35 16
24 28 6
20 13 8
36 31 14
6 34 13
31 0 1
10 21 12
16 24 9
2 24 8
24 1 1
1 14 3
21 4 10
37 14 12
19 5 16
34 12 7
31 27 14
25 0 3
16 39 13
23 9 15
8 11 12
33 13 6
36 34 12
38 26 6
37 25 14
30 0 16
31 26 8
35 28 7
5 23 7
34 26 9
37 7 3
27 37 10
30 32 10
21 24 16
29 6 1
15 20 13
24 31 11
19 10 13
26 28 3
5 27 12
12 27 15
33 37 1
4 28 12
29 14 14
8 19 15
22 13 9
17 35 10
34 31 6
9 14 15
6 30 8
