35 37
7 8 5
11 19 9
13 34 3
34 30 4
24 18 7
19 26 10
19 17 13
22 17 14
0 16 13
13 6 12
11 7 6
18 19 3
12 19 12
21 20 2
2 10 4
3 20 16
19 21 4
11 25 15
15 34 13
32 30 14
11 4 14
27 18 14
6 30 5
1 18 14
5 28 12
32 18 13
14 19 16
1 10 5
0 33 6
13 26 14
2 4 11
5 9 14
17 5 7
31 0 8
7 26 14
0 10 10
32 9 10
48 115
23 21 12
33 22 14
7 5 5
36 9 5
37 29 1
13 29 5
13 20 2
9 33 6
10 28 10
21 9 14
21 10 7
10 39 10
10 42 14
27 5 11
14 11 7
16 38 3
1 11 13
9 10 5
12 17 15
8 17 13
28 24 7
13 1 14
40 4 12
44 36 5
8 28 7
17 16 8
36 33 4
31 1 7
30 43 7
47 32 12
36 30 10
43 32 9
37 18 3
20 22 10
19 33 1
19 11 12
34 1 15
41 18 10
33 10 6
45 47 13
12 39 10
18 7 15
23 19 16
2 47 14
27 10 10
9 12 4
1 21 5
47 12 15
31 18 13
35 14 2
42 35 3
38 21 1
29 0 4
4 3 3
41 25 5
31 37 14
26 0 11
18 43 3
24 45 13
36 38 15
33 24 16
34 15 14
32 12 15
10 27 15
46 41 13
36 32 15
31 14 13
38 7 2
0 38 2
26 4 2
36 26 11
39 31 16
38 11 8
28 31 2
25 41 3
30 33 1
27 42 16
44 5 2
42 41 6
3 21 11
19 29 8
21 0 5
10 11 14
8 21 11
28 32 10
30 29 14
26 40 6
27 35 12
16 25 16
10 13 16
44 35 3
2 18 4
15 45 10
13 32 6
9 16 1
45 38 1
15 28 7
26 21 10
27 24 11
47 39 3
33 26 11
26 40 16
10 30 12
8 34 14
16 1 13
28 22 7
42 40 3
35 37 6
31 8 6
10 20 9
38 19 1
39 21 8
9 37 16
43 22 10
1 35 1
13 142
9 7 3
0 3 6
6 4 9
5 9 15
3 6 6
2 1 3
12 2 6
12 10 2
0 1 8
7 6 6
6 1 13
9 5 9
2 10 11
11 6 1
10 2 3
12 6 10
1 11 13
11 3 14
0 12 9
2 8 2
6 0 6
7 11 11
2 9 6
7 9 11
7 4 5
10 0 7
8 3 12
4 2 2
8 1 14
0 10 6
10 0 3
11 7 6
1 0 2
0 5 10
9 12 13
2 0 12
5 11 3
11 6 5
5 0 11
11 10 12
2 0 9
0 11 3
8 11 7
12 7 2
0 7 12
11 10 3
9 0 12
4 7 3
9 0 4
9 4 9
0 11 14
8 6 8
5 6 4
1 8 9
1 12 6
11 12 4
1 3 7
7 1 16
12 10 14
3 10 6
4 8 10
0 8 3
9 3 15
9 8 12
8 9 16
4 1 1
3 10 12
11 0 2
0 4 14
9 3 7
0 4 6
6 7 14
5 0 2
4 0 4
6 7 7
11 5 14
3 10 8
2 7 11
4 3 1
2 1 15
3 5 12
1 2 2
7 10 13
5 8 9
12 0 13
4 6 10
12 9 1
7 8 14
7 0 10
3 0 1
4 8 8
4 9 13
5 9 8
4 6 13
2 3 16
6 11 3
4 8 9
5 6 8
11 0 9
0 9 5
10 2 2
6 1 3
2 3 1
2 11 9
2 5 12
5 9 8
8 12 9
4 2 3
9 2 10
0 1 4
2 0 12
9 2 15
9 3 5
7 12 11
4 5 10
8 9 12
4 6 16
9 7 10
0 6 10
0 9 4
8 0 7
3 8 1
12 6 12
0 4 9
1 10 14
5 4 2
0 11 13
6 2 5
12 5 10
10 2 13
0 10 2
11 9 6
9 1 3
11 4 8
4 0 3
10 11 8
0 9 7
3 0 15
0 1 3
7 10 9
11 9 3
10 5 2
